statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS34-1-structure-a,"Evidence of local arrangements to provide staff training on treating people with compassion, respect and dignity that includes specific reference to people who self‑harm.",NA,NA
1,process,a,QS34-1-process-a,"Proportion of staff in contact with people who have self‑harmed who have received training on treating people with compassion, respect and dignity that includes specific reference to people who self‑harm.","The number of staff in the denominator who have received training on treating people with compassion, respect and dignity that includes specific reference to people who self‑harm.",The number of staff in contact with people who have self‑harmed.
1,outcome,a,QS34-1-outcome-a,Evidence from feedback that people who have self‑harmed feel treated with compassion and the same respect and dignity as any service user.,NA,NA
2,structure,a,QS34-2-structure-a,"Evidence of local arrangements to ensure that initial assessments of people who have self‑harmed include physical health, mental state, safeguarding concerns, social circumstances and risks of repetition or suicide.",NA,NA
2,process,a,QS34-2-process-a,"Proportion of people who have self‑harmed who have an initial assessment of physical health, mental state, safeguarding concerns, social circumstances and risks of repetition or suicide.","The number of people in the denominator with an initial assessment of physical health, mental state, safeguarding concerns, social circumstances and risks of repetition or suicide.",The number of people with a new episode of self‑harm.
3,structure,a,QS34-3-structure-a,Evidence of local arrangements to ensure that healthcare professionals either undertake comprehensive psychosocial assessments with people who have self‑harmed or refer them to a specialist mental health professional for the assessment.,NA,NA
3,process,a,QS34-3-process-a,Proportion of people who have self‑harmed who either receive a comprehensive psychosocial assessment or are referred to a specialist mental health professional for the assessment.,The number of people in the denominator receiving a comprehensive psychosocial assessment or referred to a specialist mental health professional for the assessment.,The number of people with a new episode of self‑harm.
3,process,b,QS34-3-process-b,Proportion of people who have self‑harmed and are referred to a specialist mental health professional for a comprehensive psychosocial assessment who receive a comprehensive psychosocial assessment.,The number of people in the denominator receiving a comprehensive psychosocial assessment.,The number of people who have self‑harmed and are referred to a specialist mental health professional for a comprehensive psychosocial assessment.
4,structure,a,QS34-4-structure-a,"Evidence of local arrangements to ensure that people who have self‑harmed receive the monitoring they need while in the healthcare setting, in order to reduce the risk of further self‑harm while in the healthcare setting.",NA,NA
4,process,a,QS34-4-process-a,"Proportion of people who have self‑harmed who have a record of monitoring arrangements while in the healthcare setting, in order to reduce the risk of further self‑harm.","The number of people in the denominator with a record of monitoring arrangements while in the healthcare setting, in order to reduce the risk of further self‑harm.",The number of people with a new episode of self‑harm.
4,outcome,a,QS34-4-outcome-a,Number of episodes of self‑harm occurring in healthcare settings.,NA,NA
5,structure,a,QS34-5-structure-a,"Evidence of local arrangements to undertake environmental assessments of healthcare settings, including assessing the risks to people who have self‑harmed.",NA,NA
5,outcome,a,QS34-5-outcome-a,Number of episodes of self‑harm occurring in healthcare settings.,NA,NA
6,structure,a,QS34-6-structure-a,Evidence of local arrangements to ensure that people receiving continuing support for self‑harm have a collaboratively developed risk management plan.,NA,NA
6,process,a,QS34-6-process-a,Proportion of people receiving continuing support for self‑harm who have a collaboratively developed risk management plan.,The number of people in the denominator who have a collaboratively developed risk management plan.,The number of people receiving continuing support for self‑harm.
7,structure,a,QS34-7-structure-a,Evidence of local arrangements to provide psychological interventions specifically structured for people who self‑harm.,NA,NA
7,process,a,QS34-7-process-a,Proportion of people receiving continuing support for self‑harm who have a record of a discussion with their lead healthcare professional about the potential benefits of psychological interventions specifically structured for people who self‑harm.,The number of people in the denominator who have a record of a discussion with their lead healthcare professional about the potential benefits of psychological interventions specifically structured for people who self‑harm.,The number of people receiving continuing support for self‑harm.
7,process,b,QS34-7-process-b,Proportion of people who self‑harm who accept referral for psychological intervention and receive at least 3 sessions of a psychological intervention specifically structured for people who self‑harm.,The number of people in the denominator receiving at least 3 sessions of a psychological intervention specifically structured for people who self‑harm.,The number of people who self‑harm who accept referral for psychological intervention.
8,structure,a,QS34-8-structure-a,Evidence of local arrangements to ensure that providers collaboratively plan in advance and coordinate effectively when people who have self‑harmed move between mental health services.,NA,NA
8,process,a,QS34-8-process-a,Proportion of people receiving continuing support for self‑harm and moving between mental health services who have a collaboratively developed plan describing how support will be provided during the transition.,The number of people in the denominator with a collaboratively developed plan describing how support will be provided during the transition.,The number of people receiving continuing support for self‑harm and moving between mental health services.
