statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS133-1-structure-a,Evidence of local arrangements to undertake comprehensive assessment before any intervention programme for attachment difficulties.,NA,NA,Local data collection.
1,process,a,QS133-1-process-a,Proportion of intervention programmes commencing for attachment difficulties in children and young people that included a comprehensive assessment before the interventions began.,The number in the denominator that included a comprehensive assessment before the interventions began.,The number of intervention programmes commencing for attachment difficulties in children and young people.,Local data collection.
1,outcome,a,QS133-1-outcome-a,Social and emotional development and behavioural functioning of children at risk of or with confirmed attachment difficulties.,To be determined locally,To be determined locally,Local data collection.
1,outcome,b,QS133-1-outcome-b,Sensitivity and responsiveness in parents of children with attachment difficulties on the edge of care.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS133-2-structure-a,Evidence of local arrangements to develop education plans for all children and young people with attachment difficulties that set out how they will be supported in school.,NA,NA,Local data collection.
2,process,a,QS133-2-process-a,Proportion of children and young people with attachment difficulties who have an education plan setting out how they will be supported in school.,The number in the denominator who have an education plan setting out how they will be supported in school.,The number of children and young people with attachment difficulties.,Local data collection.
2,outcome,a,QS133-2-outcome-a,School attendance rates for children and young people with attachment difficulties.,To be determined locally,To be determined locally,Local data collection. National Audit Office (2014) Children in care.
2,outcome,b,QS133-2-outcome-b,School exclusions for children and young people with attachment difficulties.,To be determined locally,To be determined locally,"Local data collection. Department for Education (2016) Outcomes for children looked after by local authorities in England, 31 March 2015."
3,structure,a,QS133-3-structure-a,Evidence of local arrangements to ensure that parents and carers of preschool-age children identified to have or be at risk of attachment difficulties are offered a video feedback programme.,NA,NA,Local data collection.
3,process,a,QS133-3-process-a,Proportion of preschool-age children with or at risk of attachment difficulties whose parents or carers receive a video feedback programme.,The number in the denominator whose parents or carers receive a video feedback programme.,The number of preschool-age children with or at risk of attachment difficulties.,Local data collection.
3,outcome,a,QS133-3-outcome-a,Sensitivity and responsiveness in parents of children with attachment difficulties on the edge of care.,To be determined locally,To be determined locally,Local data collection.
3,outcome,b,QS133-3-outcome-b,Breakdown in care placements for preschool aged children with or at risk of attachment difficulties.,To be determined locally,To be determined locally,"Local data collection. Department for education (2016/2017) Looked after children return, collects return to care after or during previous permanent arrangement. National Audit Office (2014) Children in care."
4,structure,a,QS133-4-structure-a,"Evidence of local arrangements to provide training, education and support programmes for carers of children and young people with attachment difficulties.",NA,NA,Local data collection.
4,structure,b,QS133-4-structure-b,"Evidence that training, education and support programmes for carers of children and young people with attachment difficulties are appropriate to the age of the child.",NA,NA,Local data collection.
4,outcome,a,QS133-4-outcome-a,Breakdown of placements for children and young people with attachment difficulties.,To be determined locally,To be determined locally,"Local data collection. Department for education (2016/2017) Looked after children return, collects return to care after or during previous permanent arrangement. National Audit Office (2014) Children in care."
4,outcome,b,QS133-4-outcome-b,School attendance rates for children and young people with attachment difficulties in care.,To be determined locally,To be determined locally,"Local data collection. Department for Education (2016) Outcomes for children looked after by local authorities in England, 31 March 2015."
4,outcome,c,QS133-4-outcome-c,School exclusions for children and young people with attachment difficulties in care.,To be determined locally,To be determined locally,"Local data collection. Department for Education (2016) Outcomes for children looked after by local authorities in England, 31 March 2015."
