statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS110-1-structure-a,Evidence of local arrangements to ensure that adults have a mortality risk assessment using the CRB65 score when they are diagnosed with community‑acquired pneumonia in primary care.,NA,NA
1,process,a,QS110-1-process-a,Proportion of community‑acquired pneumonia diagnoses of adults in primary care at which the adult has a mortality risk assessment using the CRB65 score.,The number in the denominator at which the adult has a mortality risk assessment using the CRB65 score.,The number of diagnoses of community‑acquired pneumonia in adults in primary care.
1,outcome,a,QS110-1-outcome-a,Mortality.,NA,NA
2,process,a,QS110-2-process-a,Proportion of adults with low‑severity community‑acquired pneumonia who receive a 5‑day maximum course of a single antibiotic.,The number in the denominator who are prescribed a 5‑day maximum course of a single antibiotic.,The number of adults with low‑severity community‑acquired pneumonia.
3,structure,a,QS110-3-structure-a,Evidence of local arrangements and processes to ensure that adults with suspected community‑acquired pneumonia in hospital have a chest X‑ray and receive a diagnosis within 4 hours of presentation at hospital.,NA,NA
3,process,a,QS110-3-process-a,Proportion of diagnoses of community‑acquired pneumonia in adults in hospital at which the adult has a chest X‑ray within 4 hours of presentation at hospital.,The number in the denominator for which a chest X‑ray was carried out within 4 hours of presentation at hospital.,The number of diagnoses of community‑acquired pneumonia in adults.
3,process,b,QS110-3-process-b,Proportion of diagnoses of community‑acquired pneumonia in adults in hospital which are made within 4 hours of presentation at hospital.,The number in the denominator for which a diagnosis was made within 4 hours of presentation at hospital.,The number of diagnoses of community‑acquired pneumonia in adults in hospital.
3,outcome,a,QS110-3-outcome-a,Inappropriate antibiotic use.,NA,NA
4,structure,a,QS110-4-structure-a,Evidence of local arrangements to ensure that adults have a mortality risk assessment using the CURB65 score when they are diagnosed with community‑acquired pneumonia in hospital.,NA,NA
4,process,a,QS110-4-process-a,Proportion of diagnoses of community‑acquired pneumonia in adults in hospital at which the adult has a mortality risk assessment using the CURB65 score.,The number in the denominator at which the adult has a mortality risk assessment using the CURB65 score.,The number of diagnoses of community‑acquired pneumonia in adults in hospital.
5,structure,a,QS110-5-structure-a,Evidence of local arrangements to ensure that adults with community‑acquired pneumonia who are admitted to hospital start antibiotic therapy within 4 hours of presentation.,NA,NA
5,process,a,QS110-5-process-a,Proportion of hospital admissions of community‑acquired pneumonia in adults at which antibiotic therapy is started within 4 hours of presentation.,The number in the denominator at which antibiotic therapy is started within 4 hours of presentation.,The number of hospital admissions of community‑acquired pneumonia in adults.
5,outcome,a,QS110-5-outcome-a,Mortality.,NA,NA
