statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS40-1-structure-a,Evidence of local arrangements for people with psoriasis to receive an assessment of disease severity at diagnosis and when response to treatment is assessed.,NA,NA
1,process,a,QS40-1-process-a,Proportion of people with psoriasis who receive an assessment of disease severity at diagnosis.,The number of people in the denominator who receive an assessment of disease severity at diagnosis.,The number of people with psoriasis.
1,process,b,QS40-1-process-b,Proportion of people with psoriasis who receive an assessment of disease severity when response to treatment is assessed.,The number of people in the denominator who receive an assessment of disease severity when response to treatment is assessed.,The number of people with psoriasis receiving treatment.
2,structure,a,QS40-2-structure-a,"Evidence of local arrangements for people with psoriasis to have an assessment of the impact of the disease on physical, psychological and social wellbeing at diagnosis and when response to treatment is assessed.",NA,NA
2,process,a,QS40-2-process-a,"Proportion of people with psoriasis who receive an assessment of the impact of the disease on physical, psychological and social wellbeing at diagnosis.","The number of people in the denominator who receive an assessment of the impact of the disease on physical, psychological and social wellbeing at diagnosis.",The number of people with psoriasis.
2,process,b,QS40-2-process-b,"Proportion of people with psoriasis who receive an assessment of the impact of the disease on physical, psychological and social wellbeing when response to treatment is assessed.","The number of people in the denominator who receive an assessment of the impact of the disease on physical, psychological and social wellbeing when response to treatment is assessed.",The number of people with psoriasis receiving treatment.
3,structure,a,QS40-3-structure-a,Evidence of local arrangements for people with psoriasis to be referred for assessment by a dermatology specialist if indicated.,NA,NA
3,process,a,QS40-3-process-a,Proportion of people with psoriasis who are referred for assessment by a dermatology specialist if indicated.,The number of people in the denominator who are referred for assessment by a dermatology specialist.,The number of people with psoriasis who have an indication for referral for assessment by a dermatology specialist.
3,outcome,a,QS40-3-outcome-a,Patient experience.,NA,NA
4,structure,a,QS40-4-structure-a,Evidence of local arrangements for adults with severe psoriasis to receive a cardiovascular risk assessment at diagnosis and at least once every 5 years.,NA,NA
4,process,a,QS40-4-process-a,Proportion of adults with severe psoriasis who receive a cardiovascular risk assessment at diagnosis.,The number of people in the denominator who receive a cardiovascular risk assessment at diagnosis.,The number of adults diagnosed with severe psoriasis.
4,process,b,QS40-4-process-b,Proportion of adults with severe psoriasis diagnosed more than 5 years ago whose most recent cardiovascular risk assessment was within 5 years of diagnosis or the previous assessment.,The number of people in the denominator whose most recent cardiovascular risk assessment was within 5 years of diagnosis or the previous cardiovascular risk assessment.,The number of adults with severe psoriasis diagnosed more than 5 years ago.
5,structure,a,QS40-5-structure-a,Evidence of local arrangements for people with psoriasis having treatment to receive an annual assessment for psoriatic arthritis.,NA,NA
5,process,a,QS40-5-process-a,Proportion of people with psoriasis having treatment who receive an annual assessment for psoriatic arthritis.,The number of people in the denominator who receive an annual assessment for psoriatic arthritis.,The number of people with psoriasis having treatment.
6,structure,a,QS40-6-structure-a,Evidence of local arrangements for people with psoriasis receiving systemic therapy to be monitored in accordance with locally agreed protocols.,NA,NA
