statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS162-1-structure-a,Evidence of local arrangements to provide enhanced clinical and developmental follow-up from birth to 2 years for children with any major risk factor for cerebral palsy.,NA,NA,"Local data collection, for example, service protocols."
1,process,a,QS162-1-process-a,Proportion of children with any major risk factor for cerebral palsy attending a routine appointment up to 3 months of age who had movement and development checked.,The number in the denominator who had movement and development checked.,The number of children with any major risk factor for cerebral palsy attending a routine appointment up to 3 months of age.,"Local data collection, such as the Royal College of Paediatrics and Child Health personal child health record ('red book')."
1,process,b,QS162-1-process-b,Proportion of children with any major risk factor for cerebral palsy and older than 3 months who have a planned schedule of developmental follow-ups.,The number in the denominator who have a planned schedule of developmental follow-ups.,The number of children with any major risk factor for cerebral palsy and older than 3 months.,"Local data collection, such as the Royal College of Paediatrics and Child Health personal child health record ('red book')."
1,outcome,a,QS162-1-outcome-a,Number of children and young people with cerebral palsy who were diagnosed by age 2 years.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS162-2-structure-a,Evidence of local arrangements to provide child development services for children with delayed motor milestones.,NA,NA,"Local data collection, for example, service protocols."
2,process,a,QS162-2-process-a,Proportion of children with delayed motor milestones who are referred to a child development service.,The number in the denominator who are referred to a child development service.,The number of children with delayed motor milestones.,"Local data collection, such as the Royal College of Paediatrics and Child Health personal child health record ('red book')."
2,outcome,a,QS162-2-outcome-a,Number of children and young people with cerebral palsy who were diagnosed by age 2 years.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS162-3-structure-a,Evidence of local arrangements to ensure that parents and carers of children and young people with cerebral palsy are provided with up-to-date information on the diagnosis and management of cerebral palsy that is tailored to their needs.,NA,NA,"Local data collection, for example, service protocols."
3,process,a,QS162-3-process-a,Proportion of parents and carers of children and young people with cerebral palsy who are given information about the diagnosis and management of cerebral palsy at the point of diagnosis.,The number in the denominator whose parents or carers are given information about the diagnosis and management of cerebral palsy.,The number of children and young people with cerebral palsy.,"Local data collection, such as the child or young person's personal folder."
3,outcome,a,QS162-3-outcome-a,Level of parent and carer satisfaction with information they are given about the diagnosis and management of cerebral palsy.,To be determined locally,To be determined locally,Local data collection based on feedback from parents and carers of children and young people with cerebral palsy.
4,structure,a,QS162-4-structure-a,"Evidence of a locally defined approach to the development of personal folders for children and young people with cerebral palsy to help them make decisions about how their condition is managed, and systems in place to make staff aware of the approach.",NA,NA,"Local data collection, for example, service protocols."
4,process,a,QS162-4-process-a,Proportion of children and young people with cerebral palsy who have a personal folder to help them make decisions about how their condition is managed.,The number in the denominator who have a personal folder to help them make decisions about how their condition is managed.,The number of children and young people with cerebral palsy.,Local data collection based on audits of patient care records.
4,outcome,a,QS162-4-outcome-a,Levels of satisfaction of children and young people with cerebral palsy with control over care and daily life.,To be determined locally,To be determined locally,Local data collection based on feedback from children and young people with cerebral palsy.
