statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS14-1-structure-a,"Evidence of local arrangements to ensure that mental health and social care professionals treat people using mental health services with empathy, dignity and respect.",NA,NA
1,structure,b,QS14-1-structure-b,Evidence of local arrangements to ensure that a strategy is developed with other local organisations to combat stigma in the community and the NHS associated with mental health problems.,NA,NA
1,process,a,QS14-1-process-a,Proportion of people who felt they were treated with respect and dignity by NHS mental health services in the past 12 months.,The number in the denominator who felt that they were treated with respect and dignity by NHS mental health services in the past 12 months.,The number of people receiving care from NHS mental health services in the past 12 months.
1,outcome,a,QS14-1-outcome-a,"Evidence from experience surveys and feedback that people using mental health services feel they are treated with empathy, dignity and respect.",NA,NA
1,outcome,b,QS14-1-outcome-b,Evidence from experience surveys and feedback that people using mental health services feel less stigmatised in the community and NHS.,NA,NA
2,structure,a,QS14-2-structure-a,"Evidence of local arrangements to ensure that people being assessed by mental health services are given information and have their care explained so they understand the assessment process, their diagnosis and treatment options.",NA,NA
2,structure,b,QS14-2-structure-b,"Evidence of local arrangements to ensure that people using mental health services, including people formally detained under the Mental Health Act, are supported in shared decision making.",NA,NA
2,outcome,a,QS14-2-outcome-a,"Evidence from experience surveys and feedback that people being assessed by mental health services understand the assessment process, their diagnosis and treatment options.",NA,NA
2,outcome,b,QS14-2-outcome-b,"Evidence from experience surveys and feedback that people using mental health services, including people formally detained under the Mental Health Act, feel supported in shared decision making.",NA,NA
2,outcome,c,QS14-2-outcome-c,Evidence from experience surveys and feedback that people using mental health services feel optimistic that their care will be effective.,NA,NA
3,structure,a,QS14-3-structure-a,Evidence of local arrangements to collect and use the views of people who use mental health services to monitor and improve performance.,NA,NA
3,structure,b,QS14-3-structure-b,"Evidence of local arrangements to involve people who use mental health services in monitoring services; for example, using exit interviews undertaken by people who have used services.",NA,NA
3,structure,c,QS14-3-structure-c,"Evidence of local arrangements to provide the executive board with reports on acute and non-acute mental health pathways, with a breakdown of people's experience of care according to gender, sexual orientation, socioeconomic status, age, background (including cultural, ethnic and religious background) and disability.",NA,NA
3,outcome,a,QS14-3-outcome-a,Evidence from surveys and feedback that people using mental health services feel that their views are being used to improve services.,NA,NA
4,structure,a,QS14-4-structure-a,Evidence of local arrangements to ensure continuity of support for people using mental health services.,NA,NA
4,structure,b,QS14-4-structure-b,Evidence of local arrangements to ensure people using mental health services are given information on the roles of the people involved in their care and how to contact them.,NA,NA
4,outcome,a,QS14-4-outcome-a,Evidence from experience surveys and feedback that people using mental health services understand the roles of the multidisciplinary team members and know how to contact them.,NA,NA
5,structure,a,QS14-5-structure-a,"Evidence of local arrangements to ensure agreed referral methods are in place between primary, community and secondary care services.",NA,NA
5,structure,b,QS14-5-structure-b,Evidence of local arrangements to ensure people have access to a local 24-hour helpline staffed by mental health and social care professionals.,NA,NA
5,structure,c,QS14-5-structure-c,"Evidence of local arrangements to ensure crisis resolution and home treatment teams are accessible 24 hours a day, 7 days a week, regardless of diagnosis.",NA,NA
5,structure,d,QS14-5-structure-d,"Evidence of local arrangements to ensure that people accessing crisis support have a comprehensive assessment, including a crisis plan.",NA,NA
5,process,a,QS14-5-process-a,Proportion of people with a non-acute referral to mental health services who had a face-to-face appointment that took place within 3 weeks of referral (or within 2 weeks of any change of date).,The number of people in the denominator who had a face-to-face appointment that took place within 3 weeks of referral (or within 2 weeks of any change of date).,The number of people with a non-acute referral to mental health services.
5,process,b,QS14-5-process-b,Proportion of people being assessed by mental health services who were seen within 20 minutes of the agreed appointment time.,The number of people in the denominator who were seen within 20 minutes of the agreed appointment time.,The number of people with an agreed appointment time for a mental health assessment.
5,process,c,QS14-5-process-c,Proportion of people in crisis referred to specialist mental health services who were seen within 4 hours.,The number of people in the denominator who were seen within 4 hours.,The number of people in crisis referred to specialist mental health services.
5,process,d,QS14-5-process-d,Proportion of people admitted to a 'place of safety' who were assessed under the Mental Health Act within 4 hours.,The number of people in the denominator who were assessed under the Mental Health Act within 4 hours.,The number of people admitted to a 'place of safety'.
5,process,e,QS14-5-process-e,Proportion of people accessing crisis support who have a comprehensive assessment.,The number of people in the denominator who have a comprehensive assessment.,The number of people accessing crisis support.
5,outcome,a,QS14-5-outcome-a,Evidence from experience surveys and feedback that people can access a local helpline 24 hours a day.,NA,NA
5,outcome,b,QS14-5-outcome-b,"Evidence from experience surveys and feedback that people accessing crisis support were asked about their relationships, their social and living circumstances and level of functioning, as well as their symptoms, behaviour, diagnosis and current treatment.",NA,NA
6,structure,a,QS14-6-structure-a,Evidence of local arrangements to ensure that people using mental health services jointly develop a care plan with mental health and social care professionals.,NA,NA
6,structure,b,QS14-6-structure-b,Evidence of local arrangements to ensure that people using mental health services are given a copy of their care plan.,NA,NA
6,structure,c,QS14-6-structure-c,Evidence of local arrangements to ensure that people using mental health services have an agreed date to review their care plan.,NA,NA
6,structure,d,QS14-6-structure-d,Evidence of local arrangements to ensure that people using mental health services who may be at risk of crisis jointly develop a crisis plan with mental health and social care professionals.,NA,NA
6,process,a,QS14-6-process-a,Proportion of people using mental health services who have a jointly agreed care plan with mental health and social care professionals.,The number of people in the denominator who have a jointly agreed care plan with mental health and social care professionals.,The number of people using mental health services.
6,process,b,QS14-6-process-b,Proportion of people using mental health services given a copy of their care plan.,The number of people in the denominator given a copy of their care plan.,The number of people using mental health services with a care plan.
6,process,c,QS14-6-process-c,Proportion of people using mental health services with an agreed date to review their care plan.,The number of people in the denominator with an agreed date to review their care plan.,The number of people using mental health services with a care plan.
6,process,d,QS14-6-process-d,Proportion of people using mental health services who may be at risk of crisis who have a crisis plan.,The number of people in the denominator who have a crisis plan.,The number of people using mental health services who may be at risk of crisis.
6,outcome,a,QS14-6-outcome-a,Evidence from experience surveys and feedback that people using mental health services jointly developed a care plan with mental health and social care professionals.,NA,NA
