statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS178-1-structure-a,Evidence of local agreement on the key points of contact when people will be asked about their sexual history.,NA,NA,"Local data collection, such as service protocols."
1,structure,b,QS178-1-structure-b,Evidence of local processes to ensure that people are asked about their sexual history at key points of contact.,NA,NA,"Local data collection, such as service protocols."
1,process,a,QS178-1-process-a,Proportion of people who have a discussion about their sexual history at key points of contact.,The number in the denominator who have a discussion about their sexual history.,The number of people attending a key point of contact.,Local data collection. Documenting that a discussion has taken place could form part of an electronic health record.
1,outcome,a,QS178-1-outcome-a,Coverage of testing for STIs: proportion of people attending the service who are tested for STIs.,To be determined locally,To be determined locally,"Local data collection, for example, the proportion of young people screened for chlamydia and HIV testing coverage is collected as part of Public Health England's Sexual and reproductive health profiles."
2,structure,a,QS178-2-structure-a,Evidence of local arrangements to ensure that trained healthcare professionals are available to discuss behaviour change with people identified as being at risk of STIs.,NA,NA,"Local data collection, such as training records and staff rotas."
2,structure,b,QS178-2-structure-b,Evidence of local processes to ensure that people identified as being at risk of STIs have a discussion about prevention and testing.,NA,NA,"Local data collection, such as service protocols."
2,process,a,QS178-2-process-a,Proportion of people identified as being at risk of STIs who have a discussion about prevention and testing.,The number in the denominator who have a discussion about prevention and testing.,The number of people identified as being at risk of STIs.,Local data collection. Documenting that a discussion has taken place could form part of an electronic health record.
2,outcome,a,QS178-2-outcome-a,Coverage of testing for STIs: proportion of people attending the service who are tested for STIs.,To be determined locally,To be determined locally,"Local data collection, for example, the proportion of young people screened for chlamydia and HIV testing coverage are collected as part of Public Health England's Sexual and reproductive health profiles."
2,outcome,b,QS178-2-outcome-b,"New STI diagnoses (excluding chlamydia in people aged under 25) per 100,000 people aged 15 to 64.",To be determined locally,To be determined locally,These data are collected as part of Public Health England's Sexual and reproductive health profiles.
2,outcome,c,QS178-2-outcome-c,"Chlamydia detection rate per 100,000 people aged 15 to 24.",To be determined locally,To be determined locally,These data are collected as part of Public Health England's Sexual and reproductive health profiles.
3,structure,a,QS178-3-structure-a,Evidence of local arrangements to assess the needs of local populations for condom distribution schemes.,NA,NA,"Local data collection, such as needs assessments based on consultation and STI rates."
3,structure,b,QS178-3-structure-b,Evidence of local arrangements to provide a range of condom distribution schemes tailored to the needs of the population.,NA,NA,"Local data collection, such as service specifications for a mix of different types of condom distribution scheme."
3,structure,c,QS178-3-structure-c,Evidence of local arrangements to publicise condom distribution schemes to people most at risk of getting an STI.,NA,NA,"Local data collection, such as posters, leaflets and social media campaigns."
3,outcome,a,QS178-3-outcome-a,Proportion of people who are at risk of STIs who used a condom at last intercourse.,To be determined locally,To be determined locally,"Local data collection, such as a survey of young people or other groups at risk of STIs."
3,outcome,b,QS178-3-outcome-b,"New STI diagnoses (excluding chlamydia in people aged under 25) per 100,000 people aged 15 to 64.",To be determined locally,To be determined locally,These data are collected as part of Public Health England's Sexual and reproductive health profiles.
3,outcome,c,QS178-3-outcome-c,"Chlamydia detection rate per 100,000 people aged 15 to 24.",To be determined locally,To be determined locally,These data are collected as part of Public Health England's Sexual and reproductive health profiles.
