statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source
1,structure,a,QS16-1-structure-a,Evidence of local arrangements to ensure that people with hip fracture are cared for within a Hip Fracture Programme at every stage of the care pathway.,NA,NA,Local data collection.
1,process,a,QS16-1-process-a,Proportion of presentations of hip fracture in which the person receives an orthogeriatric assessment prior to surgery.,The number in the denominator in which the person receives an orthogeriatric assessment prior to surgery.,The number of presentations of hip fracture.,Local data collection. The National Hip Fracture Database records access to orthogeriatric assessment.
1,process,b,QS16-1-process-b,Proportion of presentations of hip fracture in which the person has their goals for multidisciplinary rehabilitation identified.,The number in the denominator in which the person has their goals for multidisciplinary rehabilitation identified.,The number of people having surgery for hip fracture.,Local data collection.
1,outcome,a,QS16-1-outcome-a,Mortality for people with hip fracture at discharge.,To be determined locally,To be determined locally,Local data collection.
1,outcome,b,QS16-1-outcome-b,Functional outcome at 1 year.,To be determined locally,To be determined locally,Local data collection.
2,structure,a,QS16-2-structure-a,Evidence of local arrangements to ensure that people with hip fracture have surgery on a planned trauma list.,NA,NA,Local data collection.
2,structure,b,QS16-2-structure-b,"Evidence of local arrangements to ensure that people with hip fracture have surgery on the day of, or the day after, admission.",NA,NA,Local data collection.
2,process,a,QS16-2-process-a,Proportion of operations for hip fracture that are performed on a planned trauma list.,The number in the denominator that are performed on a planned trauma list.,The number of operations for hip fracture.,Local data collection. The National Hip Fracture Database records the time of the operation in relation to the admission.
2,process,b,QS16-2-process-b,"Proportion of operations for hip fracture that are performed on the day of, or the day after, admission.","The number in the denominator that are performed on the day of, or the day after, admission.",The number of operations for hip fracture.,Local data collection. The NHS Digital Compendium of Clinical and Health Indicators records emergency hospital admissions and timely surgery: fractured proximal femur. The National Hip Fracture Database records the time of the operation in relation to the admission.
2,outcome,a,QS16-2-outcome-a,Postoperative complications for people with hip fracture.,To be determined locally,To be determined locally,Local data collection.
2,outcome,b,QS16-2-outcome-b,Length of hospital stay for people with hip fracture.,To be determined locally,To be determined locally,Local data collection.
2,outcome,c,QS16-2-outcome-c,Mortality for people having hip fracture surgery.,To be determined locally,To be determined locally,Local data collection.
3,structure,a,QS16-3-structure-a,"Evidence of local arrangements to perform total hip replacement if people with displaced intracapsular fracture are clinically eligible, rather than hemiarthroplasty.",NA,NA,Local data collection.
3,process,a,QS16-3-process-a,Proportion of people with displaced intracapsular fracture and eligible for total hip replacement who receive total hip replacement.,The number in the denominator who receive total hip replacement.,The number of people with displaced intracapsular fracture and eligible for total hip replacement.,Local data collection. The National Hip Fracture Database records procedure type for intracapsular displaced fracture and cementing of arthroplasties.
3,outcome,a,QS16-3-outcome-a,Functional status at 1 and 5 years after total hip replacement for displaced intracapsular fracture.,To be determined locally,To be determined locally,Local data collection.
4,structure,a,QS16-4-structure-a,Evidence of local arrangements to ensure that people with trochanteric fractures above and including the lesser trochanter receive extramedullary implants.,NA,NA,Local data collection.
4,process,a,QS16-4-process-a,Proportion of presentations of trochanteric fractures above and including the lesser trochanter in which the person receives extramedullary implants.,The number in the denominator in which the person receives extramedullary implants.,The number of presentations of trochanteric fractures above and including the lesser trochanter.,Local data collection. The National Hip Fracture Database records procedure type for trochanteric fracture.
4,outcome,a,QS16-4-outcome-a,Reoperation rates for people with trochanteric fractures.,To be determined locally,To be determined locally,Local data collection.
5,structure,a,QS16-5-structure-a,Evidence of local arrangements to ensure that people with subtrochanteric fracture are treated with an intramedullary nail.,NA,NA,Local data collection.
5,process,a,QS16-5-process-a,Proportion of presentations of subtrochanteric fractures treated with an intramedullary nail.,The number in the denominator that are treated with an intramedullary nail.,The number of presentations of subtrochanteric fractures.,Local data collection.
5,outcome,a,QS16-5-outcome-a,Number of people with non-union of fracture.,To be determined locally,To be determined locally,Local data collection.
6,structure,a,QS16-6-structure-a,"Evidence of local arrangements to ensure that people with hip fracture start rehabilitation at least once a day, no later than the day after surgery.",NA,NA,Local data collection.
6,process,a,QS16-6-process-a,Proportion of hip fracture operations after which the person starts rehabilitation no later than the day after surgery.,The number in the denominator after which the person starts rehabilitation no later than the day after surgery.,The number of hip fracture operations.,Local data collection. The National Hip Fracture Database records if the patient was mobilised on the day after surgery.
6,process,b,QS16-6-process-b,Proportion of hip fracture operations after which the person has rehabilitation at least once a day.,The number in the denominator after which the person has rehabilitation at least once a day.,The number of hip fracture operations.,Local data collection.
6,outcome,a,QS16-6-outcome-a,Length of hospital stay for people with hip fracture.,To be determined locally,To be determined locally,Local data collection.
6,outcome,b,QS16-6-outcome-b,Return to the pre-hip fracture place of residence.,To be determined locally,To be determined locally,Local data collection.
6,outcome,c,QS16-6-outcome-c,Return to the pre-hip fracture level of mobility.,To be determined locally,To be determined locally,Local data collection. The National Hip Fracture Database records the routine follow-up of hip fracture patients.
