statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS131-1-structure-a,"Evidence of local arrangements to ensure that term neonates, children and young people receiving IV fluid therapy have their plasma electrolyte concentrations and blood glucose measured when starting IV fluids and then at least every 24 hours.",NA,NA
1,process,a,QS131-1-process-a,"Proportion of term neonates, children and young people starting IV fluid therapy who have their plasma electrolyte concentrations and blood glucose measured.",The number in the denominator who have their plasma electrolyte concentrations and blood glucose measured.,"The number of term neonates, children and young people starting IV fluid therapy."
1,process,b,QS131-1-process-b,"Proportion of term neonates, children and young people receiving IV fluid therapy who have their plasma electrolyte concentrations and blood glucose measured every 24 hours or less from the start of IV fluids.",The number in the denominator who have their plasma electrolyte concentrations and blood glucose measured every 24 hours or less from the start of IV fluids.,"The number of term neonates, children and young people receiving IV fluid therapy."
1,outcome,a,QS131-1-outcome-a,"Patient safety incidents resulting from errors in IV fluid therapy in term neonates, children and young people.",NA,NA
2,structure,a,QS131-2-structure-a,"Evidence of local arrangements to ensure that term neonates, children and young people receiving IV fluid therapy have their fluid balance assessed when starting IV fluids and then at least every 12 hours.",NA,NA
2,process,a,QS131-2-process-a,"Proportion of term neonates, children and young people starting IV fluid therapy who have their fluid balance assessed.",The number in the denominator who have their fluid balance assessed.,"The number of term neonates, children and young people starting IV fluid therapy."
2,process,b,QS131-2-process-b,"Proportion of term neonates, children and young people receiving IV fluid therapy who have their fluid balance assessed every 12 hours or less from starting IV fluids.",The number in the denominator who have their fluid balance assessed every 12 hours or less from starting IV fluids.,"The number of term neonates, children and young people receiving IV fluid therapy."
2,outcome,a,QS131-2-outcome-a,"Patient safety incidents resulting from errors in IV fluid therapy in term neonates, children and young people.",NA,NA
3,structure,a,QS131-3-structure-a,Containing fluids for IV fluid resuscitation.,NA,NA
3,process,a,QS131-3-process-a,Containing fluids for IV fluid resuscitation.,Containing fluids for IV fluid resuscitation.,"The number of term neonates, children and young people receiving IV fluid resuscitation."
3,outcome,a,QS131-3-outcome-a,"Incidence of hyponatraemia attributable to IV fluid therapy in term neonates, children and young people.",NA,NA
4,structure,a,QS131-4-structure-a,"Evidence of local arrangements to ensure that term neonates, children and young people receiving IV fluids for routine maintenance are not given hypotonic fluids as the initial fluid.",NA,NA
4,process,a,QS131-4-process-a,"Proportion of term neonates, children and young people receiving IV fluids for routine maintenance who are given hypotonic fluids as the initial fluid.",The number in the denominator who are given hypotonic fluids as the initial fluid.,"The number of term neonates, children and young people receiving IV fluids for routine maintenance."
4,outcome,a,QS131-4-outcome-a,"Incidence of hyponatraemia attributable to IV fluid therapy in term neonates, children and young people.",NA,NA
5,structure,a,QS131-5-structure-a,"Evidence that hospitals have an IV fluids lead who has overall responsibility for ensuring adequate training, clinical governance, audit and review of IV fluid prescribing, and patient outcomes.",NA,NA
5,outcome,a,QS131-5-outcome-a,"Patient safety incidents resulting from errors in IV fluid therapy in term neonates, children and young people.",NA,NA
