statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS104-1-structure-a,Evidence of local arrangements to ensure that adults with acute cholecystitis have laparoscopic cholecystectomy within 1 week of diagnosis.,NA,NA
1,structure,b,QS104-1-structure-b,Evidence of local arrangements to ensure that secondary care services that offer laparoscopic cholecystectomy regularly perform the procedure.,NA,NA
1,process,a,QS104-1-process-a,Proportion of adults with acute cholecystitis who have a laparoscopic cholecystectomy within 1 week of diagnosis.,The number in the denominator who have a laparoscopic cholecystectomy within 1 week of diagnosis.,The number of adults with acute cholecystitis.
1,outcome,a,QS104-1-outcome-a,Acute readmission rates for adults with acute cholecystitis.,NA,NA
1,outcome,b,QS104-1-outcome-b,Length of stay for adults with acute cholecystitis.,NA,NA
1,outcome,c,QS104-1-outcome-c,Quality of life for adults with acute cholecystitis.,NA,NA
2,structure,a,QS104-2-structure-a,Evidence of local arrangements to ensure that adults with common bile duct stones causing jaundice have endoscopic retrograde cholangiopancreatography within 72 hours of diagnosis.,NA,NA
2,process,a,QS104-2-process-a,Proportion of adults with common bile duct stones causing jaundice who have endoscopic retrograde cholangiopancreatography within 72 hours of diagnosis.,The number in the denominator who have endoscopic retrograde cholangiopancreatography within 72 hours of diagnosis.,The number of adults with common bile duct stones causing jaundice.
2,outcome,a,QS104-2-outcome-a,Rates of cholangitis in adults with common bile duct stones.,NA,NA
3,structure,a,QS104-3-structure-a,Evidence of local arrangements to ensure that adults with common bile duct stones who need emergency endoscopic retrograde cholangiopancreatography have it within 24 hours.,NA,NA
3,process,a,QS104-3-process-a,Proportion of adults with common bile duct stones who need emergency endoscopic retrograde cholangiopancreatography who have it within 24 hours.,The number in the denominator who have endoscopic retrograde cholangiopancreatography within 24 hours.,The number of adults with common bile duct stones who need emergency endoscopic retrograde cholangiopancreatography.
3,outcome,a,QS104-3-outcome-a,Rates of sepsis in adults with common bile duct stones.,NA,NA
4,structure,a,QS104-4-structure-a,Evidence of local arrangements and written clinical protocols to ensure that adults with symptomatic gallstone disease who have not had their gallbladder or gallstones removed are advised to avoid food and drink that triggers their symptoms.,NA,NA
4,process,a,QS104-4-process-a,Proportion of adults with symptomatic gallstone disease who have not had their gallbladder or gallstones removed who are advised to avoid food and drink that triggers their symptoms.,The number in the denominator who are advised to avoid food and drink that triggers their symptoms.,The number of adults with symptomatic gallstone disease who have not had their gallbladder or gallstones removed.
4,outcome,a,QS104-4-outcome-a,Patient experience.,NA,NA
4,outcome,b,QS104-4-outcome-b,Quality of life for adults with gallstone disease.,NA,NA
